"cityid","city","iscity","regionid","provid","isactive","psgc_code"
"1","Adams","0","3","7","1","012801000"
"2","Bacarra","0","3","7","1","012802000"
"3","Badoc","0","3","7","1","012803000"
"4","Bangui","0","3","7","1","012804000"
"5","City of Batac","1","3","7","1","012805000"
"6","Burgos","1","3","7","1","012806000"
"7","Carasi","0","3","7","1","012807000"
"8","Currimao","0","3","7","1","012808000"
"9","Dingras","0","3","7","1","012809000"
"10","Dumalneg","0","3","7","1","012810000"
"11","Banna (Espiritu)","0","3","7","1","012811000"
"12","LAOAG CITY (Capital)","1","3","7","1","012812000"
"13","Marcos","0","3","7","1","012813000"
"14","Nueva Era","0","3","7","1","012814000"
"15","Pagudpud","0","3","7","1","012815000"
"16","Paoay","0","3","7","1","012816000"
"17","PASUQUIN","0","3","7","1","012817000"
"18","PIDDIG","0","3","7","1","012818000"
"19","PINILI","0","3","7","1","012819000"
"20","SAN NICOLAS","0","3","7","1","012820000"
"21","SARRAT","0","3","7","1","012821000"
"22","SOLSONA","0","3","7","1","012822000"
"23","VINTAR","0","3","7","1","012823000"
"24","ALILEM","0","3","8","1","012901000"
"25","BANAYOYO","0","3","8","1","012902000"
"26","Bantay","0","3","8","1","012903000"
"27","Burgos","0","3","8","1","012904000"
"28","CABUGAO","0","3","8","1","012905000"
"29","CITY OF CANDON","1","3","8","1","012906000"
"30","CAOAYAN","0","3","8","1","012907000"
"31","CERVANTES","0","3","8","1","012908000"
"32","GALIMUYOD","0","3","8","1","012909000"
"33","GREGORIO DEL PILAR (CONCEPCION)","0","3","8","1","012910000"
"34","LIDLIDDA","0","3","8","1","012911000"
"35","MAGSINGAL","0","3","8","1","012912000"
"36","NAGBUKEL","0","3","8","1","012913000"
"37","NARVACAN","0","3","8","1","012914000"
"38","QUIRINO (ANGKAKI)","0","3","8","1","012915000"
"39","SALCEDO (BAUGEN)","0","3","8","1","012916000"
"40","SAN EMILIO","0","3","8","1","012917000"
"41","SAN ESTEBAN","0","3","8","1","012918000"
"42","SAN ILDEFONSO","0","3","8","1","012919000"
"43","SAN JUAN (LAPOG)","0","3","8","1","012920000"
"44","SAN VICENTE","0","3","8","1","012921000"
"45","SANTA","0","3","8","1","012922000"
"46","SANTA CATALINA","0","3","8","1","012923000"
"47","SANTA CRUZ","0","3","8","1","012924000"
