munid,municipality,iscity,provid,muncode,isactive,psgc_code,urban_rural,,
1,Adams,0,7,,1,12801000,,,"'12801000':'Adams',"
2,Bacarra,0,7,,1,12802000,,,"'12802000':'Bacarra',"
3,Badoc,0,7,,1,12803000,,,"'12803000':'Badoc',"
4,Bangui,0,7,,1,12804000,,,"'12804000':'Bangui',"
5,City of Batac,1,7,,1,12805000,,,"'12805000':'City of Batac',"
6,Burgos,1,7,,1,12806000,,,"'12806000':'Burgos',"
7,Carasi,0,7,,1,12807000,,,"'12807000':'Carasi',"
8,Currimao,0,7,,1,12808000,,,"'12808000':'Currimao',"
9,Dingras,0,7,,1,12809000,,,"'12809000':'Dingras',"
10,Dumalneg,0,7,,1,12810000,,,"'12810000':'Dumalneg',"
11,Banna (Espiritu),0,7,,1,12811000,,,"'12811000':'Banna (Espiritu)',"
12,LAOAG CITY (Capital),1,7,,1,12812000,,,"'12812000':'LAOAG CITY (Capital)',"
13,Marcos,0,7,,1,12813000,,,"'12813000':'Marcos',"
14,Nueva Era,0,7,,1,12814000,,,"'12814000':'Nueva Era',"
15,Pagudpud,0,7,,1,12815000,,,"'12815000':'Pagudpud',"
16,Paoay,0,7,,1,12816000,,,"'12816000':'Paoay',"
17,PASUQUIN,0,7,,1,12817000,,,"'12817000':'PASUQUIN',"
18,PIDDIG,0,7,,1,12818000,,,"'12818000':'PIDDIG',"
19,PINILI,0,7,,1,12819000,,,"'12819000':'PINILI',"
20,SAN NICOLAS,0,7,,1,12820000,,,"'12820000':'SAN NICOLAS',"
21,SARRAT,0,7,,1,12821000,,,"'12821000':'SARRAT',"
22,SOLSONA,0,7,,1,12822000,,,"'12822000':'SOLSONA',"
23,VINTAR,0,7,,1,12823000,,,"'12823000':'VINTAR',"
24,ALILEM,0,8,,1,12901000,,,"'12901000':'ALILEM',"
25,BANAYOYO,0,8,,1,12902000,,,"'12902000':'BANAYOYO',"
26,Bantay,0,8,,1,12903000,,,"'12903000':'Bantay',"
27,Burgos,0,8,,1,12904000,,,"'12904000':'Burgos',"
28,CABUGAO,0,8,,1,12905000,,,"'12905000':'CABUGAO',"
29,CITY OF CANDON,1,8,,1,12906000,,,"'12906000':'CITY OF CANDON',"
30,CAOAYAN,0,8,,1,12907000,,,"'12907000':'CAOAYAN',"
31,CERVANTES,0,8,,1,12908000,,,"'12908000':'CERVANTES',"
32,GALIMUYOD,0,8,,1,12909000,,,"'12909000':'GALIMUYOD',"
33,GREGORIO DEL PILAR (CONCEPCION),0,8,,1,12910000,,,"'12910000':'GREGORIO DEL PILAR (CONCEPCION)',"
34,LIDLIDDA,0,8,,1,12911000,,,"'12911000':'LIDLIDDA',"
35,MAGSINGAL,0,8,,1,12912000,,,"'12912000':'MAGSINGAL',"
36,NAGBUKEL,0,8,,1,12913000,,,"'12913000':'NAGBUKEL',"
37,NARVACAN,0,8,,1,12914000,,,"'12914000':'NARVACAN',"
38,QUIRINO (ANGKAKI),0,8,,1,12915000,,,"'12915000':'QUIRINO (ANGKAKI)',"
39,SALCEDO (BAUGEN),0,8,,1,12916000,,,"'12916000':'SALCEDO (BAUGEN)',"
40,SAN EMILIO,0,8,,1,12917000,,,"'12917000':'SAN EMILIO',"
41,SAN ESTEBAN,0,8,,1,12918000,,,"'12918000':'SAN ESTEBAN',"
42,SAN ILDEFONSO,0,8,,1,12919000,,,"'12919000':'SAN ILDEFONSO',"
43,SAN JUAN (LAPOG),0,8,,1,12920000,,,"'12920000':'SAN JUAN (LAPOG)',"
44,SAN VICENTE,0,8,,1,12921000,,,"'12921000':'SAN VICENTE',"
45,SANTA,0,8,,1,12922000,,,"'12922000':'SANTA',"
46,SANTA CATALINA,0,8,,1,12923000,,,"'12923000':'SANTA CATALINA',"
47,SANTA CRUZ,0,8,,1,12924000,,,"'12924000':'SANTA CRUZ',"
48,SANTA LUCIA,0,8,,1,12925000,,,"'12925000':'SANTA LUCIA',"
49,SANTA MARIA,0,8,,1,12926000,,,"'12926000':'SANTA MARIA',"
50,SANTIAGO,0,8,,1,12927000,,,"'12927000':'SANTIAGO',"
51,SANTO DOMINGO,0,8,,1,12928000,,,"'12928000':'SANTO DOMINGO',"
52,SIGAY,0,8,,1,12929000,,,"'12929000':'SIGAY',"
53,SINAIT,0,8,,1,12930000,,,"'12930000':'SINAIT',"
54,SUGPON,0,8,,1,12931000,,,"'12931000':'SUGPON',"
55,SUYO,0,8,,1,12932000,,,"'12932000':'SUYO',"
56,TAGUDIN,0,8,,1,12933000,,,"'12933000':'TAGUDIN',"
57,CITY OF VIGAN (Capital),1,8,,1,12934000,,,"'12934000':'CITY OF VIGAN (Capital)',"
58,AGOO,0,9,,1,13301000,,,"'13301000':'AGOO',"
59,ARINGAY,0,9,,1,13302000,,,"'13302000':'ARINGAY',"
60,BACNOTAN,0,9,,1,13303000,,,"'13303000':'BACNOTAN',"
61,BAGULIN,0,9,,1,13304000,,,"'13304000':'BAGULIN',"
62,BALAOAN,0,9,,1,13305000,,,"'13305000':'BALAOAN',"
63,BANGAR,0,9,,1,13306000,,,"'13306000':'BANGAR',"
64,BAUANG,0,9,,1,13307000,,,"'13307000':'BAUANG',"
65,BURGOS,0,9,,1,13308000,,,"'13308000':'BURGOS',"
66,CABA,0,9,,1,13309000,,,"'13309000':'CABA',"
67,LUNA,0,9,,1,13310000,,,"'13310000':'LUNA',"
68,NAGUILIAN,0,9,,1,13311000,,,"'13311000':'NAGUILIAN',"
69,PUGO,0,9,,1,13312000,,,"'13312000':'PUGO',"
70,ROSARIO,0,9,,1,13313000,,,"'13313000':'ROSARIO',"
71,CITY OF SAN FERNANDO (Capital),1,9,,1,13314000,,,"'13314000':'CITY OF SAN FERNANDO (Capital)',"
72,SAN GABRIEL,0,9,,1,13315000,,,"'13315000':'SAN GABRIEL',"
73,SAN JUAN,0,9,,1,13316000,,,"'13316000':'SAN JUAN',"
74,SANTO TOMAS,0,9,,1,13317000,,,"'13317000':'SANTO TOMAS',"
75,SANTOL,0,9,,1,13318000,,,"'13318000':'SANTOL',"
76,SUDIPEN,0,9,,1,13319000,,,"'13319000':'SUDIPEN',"
77,TUBAO,0,9,,1,13320000,,,"'13320000':'TUBAO',"
78,AGNO,0,10,,1,15501000,,,"'15501000':'AGNO',"
79,AGUILAR,0,10,,1,15502000,,,"'15502000':'AGUILAR',"
80,CITY OF ALAMINOS,1,10,,1,15503000,,,"'15503000':'CITY OF ALAMINOS',"
81,ALCALA,0,10,,1,15504000,,,"'15504000':'ALCALA',"
82,ANDA,0,10,,1,15505000,,,"'15505000':'ANDA',"
83,ASINGAN,0,10,,1,15506000,,,"'15506000':'ASINGAN',"
84,BALUNGAO,0,10,,1,15507000,,,"'15507000':'BALUNGAO',"
85,BANI,0,10,,1,15508000,,,"'15508000':'BANI',"
86,BASISTA,0,10,,1,15509000,,,"'15509000':'BASISTA',"
87,BAUTISTA,0,10,,1,15510000,,,"'15510000':'BAUTISTA',"
88,BAYAMBANG,0,10,,1,15511000,,,"'15511000':'BAYAMBANG',"
89,BINALONAN,0,10,,1,15512000,,,"'15512000':'BINALONAN',"
90,BINMALEY,0,10,,1,15513000,,,"'15513000':'BINMALEY',"
91,BOLINAO,0,10,,1,15514000,,,"'15514000':'BOLINAO',"
92,BUGALLON,0,10,,1,15515000,,,"'15515000':'BUGALLON',"
93,BURGOS,0,10,,1,15516000,,,"'15516000':'BURGOS',"
94,CALASIAO,0,10,,1,15517000,,,"'15517000':'CALASIAO',"
