article_incident_title,incday,incmo,incyr,province_psgc,municipality_psgc,city_psgc,actors_affiliation1,actors_effect1,manifestation_code1,incident_causes_code1,geo_tag_longitude,geo_tag_latitude,actors_count_number,inc_cat
1 Abu dead as Armed Forces conduct air raid anew,7,11,2014,156600000,156611000,-99,1,6,927,5008,121.0911072,6.080692477,209,5
1 arrested for drug-selling (1 arestado sa pagtutulak umano ng shabu),20,1,2020,153800000,153803000,-99,16,2,2036,8004,124.7889295,6.719403706,1,8
"1 BIFF yields, loose firearms surrendered (1 BIFF niampo; loose firearms gisurender) 1",20,8,2020,153800000,153820000,-99,3,14,2037,3015,124.5211915,6.895482565,3,3
"1 BIFF yields, loose firearms surrendered (1 BIFF niampo; loose firearms gisurender) 2",20,8,2020,153800000,153806000,-99,31,-98,2037,8008,124.4966,7.024870445,2,8
"1 dead and 1 injured in buy-bust in Brgy. Awang, Datu Odin Sinsuat, Maguindanao",11,9,2016,153800000,153807000,-99,16,6,2031,8004,124.2200147,7.149563294,7,8
1 dead from robbery in Cotabato City (1 patay sa tulis) ,26,7,2011,-99,-99,129804000,16,6,919,1007,124.2581802,7.224162163,4,1
"1 dead, 1 wounded in Cotabato blast",20,8,2015,-99,-99,129804000,2,4,926,2014,124.2485058,7.219121958,2,2
"1 dead, 2 injured in shootout in Cotabato City (1 patay, 2 angol)",25,12,2016,-99,-99,129804000,31,4,2031,1002,124.2424039,7.222615835,3,1
"1 dead, 2 wounded in rebel attack in Sultan Kudarat, Maguindanao (1 patay, 2 samdan atake sa rebelde) ",2,6,2011,153800000,153812000,-99,16,6,2031,3006,124.2520882,7.262611496,8,3
"1 dead, 3 hurt in attack",15,9,2012,153800000,153818000,-99,24,6,2031,-98,124.3088255,7.4826599,9,9
"1 dead, 4 injured in bombing (1 patay, 4 samdan sa pagbusikad)",1,5,2016,153800000,153808000,-99,24,6,926,8008,124.4393435,6.856345977,6,8
1 hurt in grenade attack (2),20,11,2014,-99,-99,129804000,-98,4,926,5008,124.2468462,7.213414081,12,5
1 hurt in grenade attack in Cotabato City,29,11,2014,-99,-99,129804000,16,4,926,-98,124.2398944,7.210204811,7,9
"1 injured in grenade explosion in Cotabato City (Granada mibuto, 1 angol) ",24,7,2015,-99,-99,129804000,16,4,926,-98,124.2353465,7.201788887,3,9
"1 killed, 2 hurt in Basilan drug bust ",23,2,2014,-99,-99,99701000,12,2,927,8004,121.9740554,6.701579162,7,8
"1 killed, 2 injured in raid in Cotabato City (3 sibilyan napagan ronda sa kapulisan)",14,11,2011,-99,-99,129804000,16,6,927,8004,124.2310439,7.2046668,12,8
"1 killed, 26 hurt in Basilan blast",10,4,2012,150700000,150705000,-99,2,4,926,5008,121.9651065,6.532798186,32,5
"1 killed, 8 hurt in Basilan road blast",16,6,2015,150700000,150709000,-99,2,6,926,5008,122.1699008,6.479947629,19,5
"1 killed, 8 nabbed in Basilan drug raid",22,1,2016,150700000,150704000,-99,16,6,927,8004,121.9163901,6.462006384,9,8
"1 Sayyaf killed, soldier wounded in clash",28,4,2020,156600000,156601000,-99,1,9,2031,3015,120.9624117,6.004868591,21,3
"1 soldier dead, 3 wounded from landmine (1 sundalo patay, 3 samdan sa landmine)",3,7,2016,153600000,-99,153617000,2,6,926,8008,124.2918813,8.013453645,4,8
1 soldier injured in grenade explosion (1 sundalo samaran pagbuto sa granada),17,11,2017,153800000,153808000,-99,2,4,926,5017,124.4730399,6.869112856,3,5
1 spouse killed shot by tandem (1 patay sa mag-asawa na pinagbabaril ng tandem),2,9,2019,153800000,153825000,-99,16,6,2031,-98,124.3942371,6.954548043,4,9
10 Abu bandits surrender in Sulu,9,3,2020,156600000,-98,-99,1,14,2042,5017,125.2595977,7.041428325,10,5
10 Abu members yield in Basilan,8,6,2018,150700000,150705000,-99,1,14,2037,5017,122.0558241,6.510540823,10,5
10 armed terrorist surrender in Maguindanao,29,10,2020,153800000,153813000,-99,2,-98,2037,3015,124.603071,6.882918294,11,3
10 BIFF killed (BIFF napatyan na sab og 10),5,9,2017,153800000,153836000,-99,2,-98,927,5017,124.4600493,7.00293406,15,5
10 BIFF killed in clash (10 BIFF patay sa gyera),9,1,2018,153800000,153827000,-99,2,-98,927,5017,124.4368443,6.924921131,12,5
10 BIFF men yield to Army in Maguindanao ,2,2,2019,153800000,153813000,-99,2,-98,2037,5017,124.6714372,6.909662915,10,5
10 BIFF surrendered (10 BIFF misurender),24,8,2020,153800000,153822000,-99,3,14,2037,3015,124.7698043,7.109004493,14,3
10 BIFF yield in Maguindanao,11,11,2020,153800000,153829000,-99,3,14,2037,3015,124.5494763,6.902050668,14,3
10 Filipino fishermen abducted off Sabah,18,6,2019,156600000,156613000,-99,16,5,915,8009,121.138114,5.976119597,10,8
10 kids hurt in grenade blast,18,1,2018,156600000,156609000,-99,24,6,928,8008,120.8929938,5.923609207,10,8
10 NPA surrender (10 NPA gikapoy niampo),6,3,2019,153800000,153815000,-99,9,14,2042,5008,124.186519,7.005419912,13,5
10 terrorists entering Marawi killed in Lake Lanao - AFP,28,8,2017,153600000,-99,153617000,34,6,927,5017,124.2973423,7.990345063,10,5
11 Abu bandits surrender in Basilan 2,1,8,2018,156600000,156613000,-99,1,14,2042,3015,121.0626454,5.950589378,12,3
11 Abu bandits surrender in Sulu,17,10,2020,156600000,156602000,-99,1,14,2042,3015,121.0007814,6.05388418,11,3
"11 Abu bandits, 3 soldiers killed in rescue ops",14,5,2018,156600000,156611000,-99,2,-98,927,5017,121.0673829,6.046121987,11,5
11 ASG yield in Sulu,16,10,2020,156600000,156602000,-99,1,14,2037,3015,121.0080767,6.058947101,12,3
"11 dead as soldiers, Abu Sayyaf clash in Sulu",25,5,2013,156600000,156611000,-99,2,-98,927,5008,121.060688,6.057166063,55,5
11 detained amid COMELEC gun ban (11 katao preso sa Comelec gun ban) (1),1,1,2016,153800000,-99,-99,16,2,2037,8008,124.2771957,7.397853233,2,8
11 detained amid COMELEC gun ban (11 katao preso sa Comelec gun ban) (2),1,1,2016,-99,-99,129804000,16,2,2037,8008,124.2416605,7.225171479,1,8
"11 Maute bandits killed in Butig, Lanao del Sur",26,11,2016,153600000,153607000,-99,34,6,927,5017,124.3009467,7.73450302,65,5
11-kg shabu seized from Maute lair,18,6,2017,153600000,-99,153617000,34,9,2031,5017,124.3088237,7.99225513,1,5
12 BIFF bandits surrender in Maguindanao,13,1,2020,153800000,153813000,-99,2,-98,2042,3015,124.6921833,6.891734666,12,3
