article_incident_title,incday,incmo,incyr,case_status,region_psgc,province_psgc,municipality_psgc,city_psgc,manifestation_code1,incident_causes_code1,geo_tag_longitude,geo_tag_latitude,,
1 Abu dead as Armed Forces conduct air raid anew,7,11,2014,3,150000000,156600000,156611000,-99,927,5008,121.0911072,6.080692477,,
1 arrested for drug-selling (1 arestado sa pagtutulak umano ng shabu),20,1,2020,2,150000000,153800000,153803000,-99,2036,8004,124.7889295,6.719403706,,
"1 BIFF yields, loose firearms surrendered (1 BIFF niampo; loose firearms gisurender) 1",20,8,2020,4,150000000,153800000,153820000,-99,2037,3015,124.5211915,6.895482565,,
"1 BIFF yields, loose firearms surrendered (1 BIFF niampo; loose firearms gisurender) 2",20,8,2020,4,150000000,153800000,153806000,-99,2037,8008,124.4966,7.024870445,,
"1 dead and 1 injured in buy-bust in Brgy. Awang, Datu Odin Sinsuat, Maguindanao",11,9,2016,2,150000000,153800000,153807000,-99,2031,8004,124.2200147,7.149563294,,
1 dead from robbery in Cotabato City (1 patay sa tulis) ,26,7,2011,-98,120000000,-99,-99,129804000,919,1007,124.2581802,7.224162163,,
"1 dead, 1 wounded in Cotabato blast",20,8,2015,3,120000000,-99,-99,129804000,926,2014,124.2485058,7.219121958,,
"1 dead, 2 injured in shootout in Cotabato City (1 patay, 2 angol)",25,12,2016,1,120000000,-99,-99,129804000,2031,1002,124.2424039,7.222615835,,
"1 dead, 2 wounded in rebel attack in Sultan Kudarat, Maguindanao (1 patay, 2 samdan atake sa rebelde) ",2,6,2011,3,150000000,153800000,153812000,-99,2031,3006,124.2520882,7.262611496,,
"1 dead, 3 hurt in attack",15,9,2012,-98,150000000,153800000,153818000,-99,2031,-98,124.3088255,7.4826599,,
"1 dead, 4 injured in bombing (1 patay, 4 samdan sa pagbusikad)",1,5,2016,3,150000000,153800000,153808000,-99,926,8008,124.4393435,6.856345977,,
1 hurt in grenade attack (2),20,11,2014,3,120000000,-99,-99,129804000,926,5008,124.2468462,7.213414081,,
1 hurt in grenade attack in Cotabato City,29,11,2014,3,120000000,-99,-99,129804000,926,-98,124.2398944,7.210204811,,
"1 injured in grenade explosion in Cotabato City (Granada mibuto, 1 angol) ",24,7,2015,3,120000000,-99,-99,129804000,926,-98,124.2353465,7.201788887,,
"1 killed, 2 hurt in Basilan drug bust ",23,2,2014,3,90000000,-99,-99,99701000,927,8004,121.9740554,6.701579162,,
"1 killed, 2 injured in raid in Cotabato City (3 sibilyan napagan ronda sa kapulisan)",14,11,2011,-98,120000000,-99,-99,129804000,927,8004,124.2310439,7.2046668,,
"1 killed, 26 hurt in Basilan blast",10,4,2012,3,150000000,150700000,150705000,-99,926,5008,121.9651065,6.532798186,,
"1 killed, 8 hurt in Basilan road blast",16,6,2015,3,150000000,150700000,150709000,-99,926,5008,122.1699008,6.479947629,,
"1 killed, 8 nabbed in Basilan drug raid",22,1,2016,3,150000000,150700000,150704000,-99,927,8004,121.9163901,6.462006384,,
"1 Sayyaf killed, soldier wounded in clash",28,4,2020,-98,150000000,156600000,156601000,-99,2031,3015,120.9624117,6.004868591,,
"1 soldier dead, 3 wounded from landmine (1 sundalo patay, 3 samdan sa landmine)",3,7,2016,3,150000000,153600000,-99,153617000,926,8008,124.2918813,8.013453645,,
